order_id,customer_id,order_date,status
1,1058,2024-05-04,delivered
2,430,2024-05-03,cancelled
3,1517,2025-09-11,delivered
4,649,2025-03-01,delivered
5,186,2026-03-29,delivered
6,979,2024-09-18,delivered
7,1936,2025-04-12,delivered
8,779,2026-04-02,delivered
9,1970,2026-05-28,delivered
10,739,2026-08-26,delivered
11,134,2025-03-20,cancelled
12,1336,2024-11-03,delivered
13,1437,2024-03-27,shipped
14,1660,2025-02-03,cancelled
15,33,2026-09-01,returned
16,1495,2025-10-24,cancelled
17,93,2024-05-24,processing
18,364,2025-08-01,delivered
19,1063,2024-06-08,delivered
20,963,2026-02-19,delivered
21,1222,2026-04-01,delivered
22,1516,2025-11-07,delivered
23,1265,2025-02-28,processing
24,859,2024-06-25,delivered
25,1063,2024-06-04,shipped
26,1660,2025-11-15,delivered
27,1801,2026-08-05,delivered
28,333,2024-01-31,delivered
29,627,2025-02-17,shipped
30,1862,2026-05-11,delivered
31,658,2024-01-30,processing
32,680,2024-01-30,cancelled
33,71,2026-01-22,cancelled
34,1872,2025-02-21,delivered
35,773,2026-02-19,delivered
36,1076,2024-06-22,delivered
37,31,2024-12-23,cancelled
38,189,2025-03-05,returned
39,231,2025-05-02,delivered
40,851,2026-05-26,cancelled
41,902,2024-05-17,processing
42,1658,2025-10-14,delivered
43,976,2025-04-25,cancelled
44,527,2024-05-11,delivered
45,1106,2025-01-09,returned
46,1369,2026-01-03,delivered
47,1010,2026-02-05,processing
48,1170,2024-07-19,delivered
49,1055,2024-05-12,processing
50,293,2024-08-18,shipped
51,1523,2024-04-07,shipped
52,579,2026-06-27,shipped
53,512,2024-08-19,delivered
54,1496,2025-11-06,delivered
55,1456,2025-04-18,shipped
56,1065,2025-06-13,delivered
57,1810,2024-09-30,processing
58,270,2024-12-01,delivered
59,1355,2024-05-28,delivered
60,1915,2026-05-21,delivered
61,1856,2026-03-29,delivered
62,99,2026-03-24,delivered
63,374,2024-01-15,delivered
64,70,2026-05-05,processing
65,332,2025-02-10,delivered
66,1172,2025-05-07,delivered
67,705,2024-07-11,shipped
68,1674,2025-08-14,delivered
69,440,2025-04-09,shipped
70,1118,2025-03-26,delivered
71,573,2025-11-02,processing
72,1893,2024-12-11,delivered
73,1828,2024-07-09,delivered
74,1653,2026-06-11,delivered
75,1125,2025-04-12,shipped
76,1369,2026-05-26,delivered
77,1064,2024-09-26,delivered
78,749,2025-03-12,shipped
79,1976,2025-07-10,delivered
80,466,2025-04-13,processing
81,247,2025-07-17,shipped
82,259,2026-06-13,delivered
83,927,2025-03-22,delivered
84,1925,2024-03-25,returned
85,1991,2025-05-31,delivered
86,1680,2026-08-21,cancelled
87,1047,2024-07-18,delivered
88,1394,2024-08-15,processing
89,407,2026-01-21,shipped
90,1077,2025-09-07,processing
91,1153,2026-05-30,delivered
92,97,2026-03-30,delivered
93,1105,2024-08-23,shipped
94,1088,2024-06-19,delivered
95,206,2025-11-27,delivered
96,1300,2026-05-29,shipped
97,1727,2026-08-10,processing
98,312,2025-07-07,cancelled
99,1249,2025-03-10,processing
100,571,2024-02-20,returned
101,1944,2025-02-14,delivered
102,1846,2025-06-18,returned
103,1831,2025-05-02,delivered
104,279,2026-01-08,cancelled
105,1,2024-03-17,delivered
106,1139,2025-11-15,delivered
107,1891,2026-01-21,shipped
108,1965,2024-03-09,delivered
109,841,2024-05-23,delivered
110,1685,2024-06-13,processing
111,1653,2026-08-31,returned
112,802,2026-03-16,delivered
113,859,2025-02-04,delivered
114,510,2026-05-04,delivered
115,464,2026-08-29,delivered
116,1829,2025-02-15,delivered
117,1515,2025-08-22,cancelled
118,311,2024-07-29,delivered
119,1377,2024-10-09,processing
120,23,2025-10-14,delivered
121,638,2025-06-20,delivered
122,1288,2025-09-04,delivered
123,1353,2025-03-24,delivered
124,256,2025-07-08,shipped
125,931,2024-06-06,delivered
126,1545,2026-07-21,shipped
127,1793,2024-10-05,cancelled
128,84,2025-01-25,processing
129,524,2024-04-25,shipped
130,873,2025-08-22,delivered
131,1454,2025-12-09,processing
132,998,2026-02-15,delivered
133,1071,2024-04-15,delivered
134,1499,2025-09-09,returned
135,1772,2025-01-06,delivered
136,1741,2025-11-11,delivered
137,1437,2025-03-18,delivered
138,1307,2024-04-17,processing
139,574,2026-05-12,shipped
140,565,2026-07-15,delivered
141,1041,2024-12-02,delivered
142,1713,2024-09-14,returned
143,171,2024-01-14,delivered
144,1651,2025-05-12,delivered
145,1014,2024-08-14,delivered
146,1364,2024-09-29,delivered
147,1600,2026-04-26,shipped
148,1149,2025-09-13,processing
149,770,2025-09-13,delivered
150,1895,2025-11-14,delivered
151,1233,2024-04-20,delivered
152,1626,2025-10-20,returned
153,1179,2024-04-07,delivered
154,1565,2024-09-01,delivered
155,1378,2025-12-27,cancelled
156,864,2026-04-14,delivered
157,1525,2024-02-10,delivered
158,1615,2025-03-26,processing
159,1175,2026-06-03,delivered
160,1926,2025-02-12,processing
161,1287,2026-02-01,processing
162,1371,2026-07-18,delivered
163,1162,2024-07-04,delivered
164,1938,2024-12-02,delivered
165,1886,2025-02-26,processing
166,1494,2025-04-12,processing
167,520,2025-01-02,processing
168,705,2024-12-26,returned
169,510,2024-10-10,delivered
170,98,2024-11-28,delivered
171,1301,2024-09-26,processing
172,329,2024-08-02,delivered
173,1769,2025-07-14,shipped
174,1517,2025-02-14,processing
175,1600,2026-04-15,delivered
176,1024,2026-05-27,delivered
177,721,2025-09-23,delivered
178,1649,2026-05-06,returned
179,649,2026-04-28,delivered
180,1873,2026-01-09,delivered
181,832,2024-11-16,shipped
182,1310,2024-07-09,processing
183,415,2024-09-28,processing
184,995,2024-12-25,delivered
185,897,2026-07-06,delivered
186,327,2024-06-21,delivered
187,229,2024-07-13,delivered
188,1862,2025-06-02,shipped
189,1148,2024-10-30,processing
190,1103,2024-07-01,delivered
191,1425,2024-03-18,delivered
192,186,2025-12-29,delivered
193,1796,2025-11-10,delivered
194,540,2024-05-29,shipped
195,1092,2024-12-28,delivered
196,1887,2025-01-29,delivered
197,1959,2026-01-23,processing
198,1818,2026-03-28,delivered
199,1168,2024-03-25,delivered
200,461,2025-03-29,processing
201,504,2025-07-15,delivered
202,561,2024-01-27,delivered
203,1707,2025-12-12,returned
204,503,2026-06-15,delivered
205,1327,2026-04-11,delivered
206,26,2024-10-30,delivered
207,43,2026-05-28,shipped
208,1717,2025-03-25,delivered
209,1129,2025-08-04,delivered
210,382,2026-05-18,delivered
