payment_id,order_id,payment_type,payment_value,payment_date
1,1,Net Banking,439576.38,2024-05-04
2,2,Wallet,132353.22,2024-05-03
3,3,Credit Card,42104.8,2025-09-11
4,4,UPI,494876.98,2025-03-01
5,5,Cash on Delivery,653145.25,2026-03-29
6,6,Cash on Delivery,123804.42,2024-09-18
7,7,Cash on Delivery,594209.31,2025-04-12
8,8,Debit Card,23172.6,2026-04-02
9,9,Cash on Delivery,700019.95,2026-05-28
10,10,Credit Card,61005.54,2026-08-26
11,11,UPI,31016.54,2025-03-20
12,12,UPI,420230.91,2024-11-03
13,13,Wallet,131772.43,2024-03-27
14,14,Net Banking,107152.21,2025-02-03
15,15,Wallet,191152.8,2026-09-01
16,16,Cash on Delivery,157787.51,2025-10-24
17,17,Cash on Delivery,137668.36,2024-05-24
18,18,Credit Card,679035.59,2025-08-01
19,19,Wallet,567800.16,2024-06-08
20,20,UPI,128513.48,2026-02-19
21,21,Wallet,65870.95,2026-04-01
22,22,Credit Card,611385.52,2025-11-07
23,23,Debit Card,271180.12,2025-02-28
24,24,Credit Card,186045.57,2024-06-25
25,25,Debit Card,94115.57,2024-06-04
26,26,Wallet,561764.24,2025-11-15
27,27,Net Banking,569862.98,2026-08-05
28,28,Wallet,222132.35,2024-01-31
29,29,UPI,698708.99,2025-02-17
30,30,Debit Card,1032296.72,2026-05-11
31,31,UPI,720279.32,2024-01-30
32,32,Net Banking,466117.23,2024-01-30
33,33,Wallet,381318.27,2026-01-22
34,34,UPI,572165.49,2025-02-21
35,35,Net Banking,91010.52,2026-02-19
36,36,Net Banking,615637.56,2024-06-22
37,37,Debit Card,254996.83,2024-12-23
38,38,UPI,474377.11,2025-03-05
39,39,Wallet,625937.34,2025-05-02
40,40,Cash on Delivery,38068.02,2026-05-26
41,41,Cash on Delivery,217218.15,2024-05-17
42,42,Debit Card,194100.66,2025-10-14
43,43,Cash on Delivery,347849.32,2025-04-25
44,44,Debit Card,234320.06,2024-05-11
45,45,Wallet,319557.2,2025-01-09
46,46,Cash on Delivery,322555.21,2026-01-03
47,47,Cash on Delivery,390424.8,2026-02-05
48,48,Cash on Delivery,654142.68,2024-07-19
49,49,Net Banking,313930.19,2024-05-12
50,50,Credit Card,100863.4,2024-08-18
51,51,Debit Card,570372.43,2024-04-07
52,52,Net Banking,766224.31,2026-06-27
53,53,Net Banking,327693.75,2024-08-19
54,54,Cash on Delivery,106426.74,2025-11-06
55,55,Net Banking,303640.88,2025-04-18
56,56,Wallet,488856.3,2025-06-13
57,57,Net Banking,214441.45,2024-09-30
58,58,Credit Card,185892.08,2024-12-01
59,59,UPI,653275.08,2024-05-28
60,60,Credit Card,92715.56,2026-05-21
61,61,Cash on Delivery,332711.61,2026-03-29
62,62,UPI,713166.59,2026-03-24
63,63,Debit Card,837741.26,2024-01-15
64,64,Cash on Delivery,182392.6,2026-05-05
65,65,Debit Card,343720.86,2025-02-10
66,66,UPI,905670.36,2025-05-07
67,67,Cash on Delivery,473708.96,2024-07-11
68,68,Debit Card,498499.39,2025-08-14
69,69,Cash on Delivery,528860.16,2025-04-09
70,70,Debit Card,76300.21,2025-03-26
71,71,Wallet,428265.72,2025-11-02
72,72,Debit Card,495056.62,2024-12-11
73,73,Debit Card,28378.15,2024-07-09
74,74,Wallet,722805.15,2026-06-11
75,75,Credit Card,835702.65,2025-04-12
76,76,Credit Card,236419.98,2026-05-26
77,77,Debit Card,512667.53,2024-09-26
78,78,Cash on Delivery,311827.17,2025-03-12
79,79,Debit Card,314431.46,2025-07-10
80,80,Debit Card,155213.7,2025-04-13
81,81,UPI,773722.66,2025-07-17
82,82,Credit Card,561982.79,2026-06-13
83,83,Credit Card,160999.87,2025-03-22
84,84,Wallet,106056.66,2024-03-25
85,85,UPI,289478.23,2025-05-31
86,86,Wallet,303759.12,2026-08-21
87,87,Debit Card,355292.48,2024-07-18
88,88,Cash on Delivery,66444.37,2024-08-15
89,89,UPI,818369.71,2026-01-21
90,90,Debit Card,507871.8,2025-09-07
91,91,Debit Card,336835.19,2026-05-30
92,92,UPI,104593.36,2026-03-30
93,93,Cash on Delivery,157490.74,2024-08-23
94,94,Net Banking,575814.65,2024-06-19
95,95,Credit Card,269934.26,2025-11-27
96,96,Wallet,516785.88,2026-05-29
97,97,Wallet,701975.63,2026-08-10
98,98,Debit Card,1011348.84,2025-07-07
