seller_id,seller_name,city
1,Seller 0001,Jaipur
2,Seller 0002,Kolkata
3,Seller 0003,Kolkata
4,Seller 0004,Kochi
5,Seller 0005,Coimbatore
6,Seller 0006,Kochi
7,Seller 0007,Chennai
8,Seller 0008,Kolkata
9,Seller 0009,Kochi
10,Seller 0010,Chennai
11,Seller 0011,Kozhikode
12,Seller 0012,Ahmedabad
13,Seller 0013,Thiruvananthapuram
14,Seller 0014,Kozhikode
15,Seller 0015,Mumbai
16,Seller 0016,Kolkata
17,Seller 0017,Kochi
18,Seller 0018,Kozhikode
19,Seller 0019,Kollam
20,Seller 0020,Hyderabad
21,Seller 0021,Jaipur
22,Seller 0022,Kochi
23,Seller 0023,Thiruvananthapuram
24,Seller 0024,Coimbatore
25,Seller 0025,Chennai
26,Seller 0026,Hyderabad
27,Seller 0027,Kozhikode
28,Seller 0028,Delhi
29,Seller 0029,Ahmedabad
30,Seller 0030,Mumbai
31,Seller 0031,Hyderabad
32,Seller 0032,Kozhikode
33,Seller 0033,Kolkata
34,Seller 0034,Jaipur
35,Seller 0035,Mumbai
36,Seller 0036,Chennai
37,Seller 0037,Chennai
38,Seller 0038,Thiruvananthapuram
39,Seller 0039,Thrissur
40,Seller 0040,Kochi
41,Seller 0041,Chennai
42,Seller 0042,Thrissur
43,Seller 0043,Kolkata
44,Seller 0044,Coimbatore
45,Seller 0045,Coimbatore
46,Seller 0046,Delhi
47,Seller 0047,Thrissur
48,Seller 0048,Mumbai
49,Seller 0049,Bengaluru
50,Seller 0050,Pune
51,Seller 0051,Coimbatore
52,Seller 0052,Bengaluru
53,Seller 0053,Pune
54,Seller 0054,Delhi
55,Seller 0055,Kozhikode
56,Seller 0056,Kozhikode
57,Seller 0057,Thrissur
58,Seller 0058,Mumbai
59,Seller 0059,Delhi
60,Seller 0060,Kollam
61,Seller 0061,Ahmedabad
62,Seller 0062,Pune
63,Seller 0063,Kolkata
64,Seller 0064,Bengaluru
65,Seller 0065,Mumbai
66,Seller 0066,Pune
67,Seller 0067,Thrissur
68,Seller 0068,Hyderabad
69,Seller 0069,Hyderabad
70,Seller 0070,Kollam
71,Seller 0071,Coimbatore
72,Seller 0072,Bengaluru
73,Seller 0073,Coimbatore
74,Seller 0074,Kolkata
75,Seller 0075,Kolkata
76,Seller 0076,Jaipur
77,Seller 0077,Coimbatore
78,Seller 0078,Kozhikode
79,Seller 0079,Kozhikode
80,Seller 0080,Mumbai
81,Seller 0081,Kolkata
82,Seller 0082,Jaipur
83,Seller 0083,Hyderabad
84,Seller 0084,Thiruvananthapuram
85,Seller 0085,Bengaluru
86,Seller 0086,Chennai
87,Seller 0087,Kozhikode
88,Seller 0088,Kozhikode
89,Seller 0089,Hyderabad
90,Seller 0090,Kochi
91,Seller 0091,Thiruvananthapuram
92,Seller 0092,Thrissur
93,Seller 0093,Kolkata
94,Seller 0094,Kollam
95,Seller 0095,Kollam
96,Seller 0096,Kolkata
97,Seller 0097,Kochi
98,Seller 0098,Mumbai
99,Seller 0099,Hyderabad
100,Seller 0100,Bengaluru
101,Seller 0101,Kochi
102,Seller 0102,Thiruvananthapuram
103,Seller 0103,Pune
104,Seller 0104,Hyderabad
105,Seller 0105,Pune
106,Seller 0106,Kozhikode
107,Seller 0107,Kochi
108,Seller 0108,Bengaluru
109,Seller 0109,Delhi
110,Seller 0110,Mumbai
111,Seller 0111,Coimbatore
112,Seller 0112,Kollam
113,Seller 0113,Bengaluru
114,Seller 0114,Delhi
115,Seller 0115,Thiruvananthapuram
